timestamp,gpu_index,power_draw_w,gpu_util_pct,memory_used_mb,memory_total_mb,temperature_c
2026-03-26T21:25:38.034Z,0,296.21,92,23658,24576,83
2026-03-26T21:25:43.068Z,0,304.49,89,23961,24576,84
2026-03-26T21:25:48.103Z,0,300.05,92,23961,24576,83
2026-03-26T21:25:53.138Z,0,295.41,92,23961,24576,84
2026-03-26T21:25:58.172Z,0,301.59,91,23961,24576,84
2026-03-26T21:26:03.205Z,0,299.19,92,23961,24576,84
2026-03-26T21:26:08.237Z,0,296.01,92,23961,24576,84
2026-03-26T21:26:13.278Z,0,75.23,17,6862,24576,50
2026-03-26T21:26:18.310Z,0,347.03,78,9443,24576,71
2026-03-26T21:26:23.366Z,0,284.75,86,1148,24576,81
2026-03-26T21:26:28.397Z,0,124.03,1,17043,24576,51
2026-03-26T21:26:33.429Z,0,123.78,18,23634,24576,45
2026-03-26T21:26:38.462Z,0,348.91,91,23961,24576,68
2026-03-26T21:26:43.495Z,0,346.43,92,23961,24576,76
2026-03-26T21:26:48.528Z,0,328.35,92,23961,24576,81
2026-03-26T21:26:53.561Z,0,318.99,89,23961,24576,82
2026-03-26T21:26:58.594Z,0,315.49,92,23961,24576,82
2026-03-26T21:27:03.630Z,0,309.37,90,23961,24576,82
2026-03-26T21:27:08.661Z,0,88.73,7,1148,24576,53
2026-03-26T21:27:13.692Z,0,341.9,94,9443,24576,64
2026-03-26T21:27:18.725Z,0,347.51,85,9443,24576,77
2026-03-26T21:27:23.757Z,0,199.22,2,1148,24576,69
2026-03-26T21:27:28.788Z,0,125.24,1,23628,24576,49
2026-03-26T21:27:33.822Z,0,281.26,1,23634,24576,56
2026-03-26T21:27:38.855Z,0,348.08,89,23961,24576,68
2026-03-26T21:27:43.890Z,0,345.41,92,23961,24576,76
2026-03-26T21:27:48.923Z,0,329.88,89,23961,24576,81
2026-03-26T21:27:53.958Z,0,321.58,90,23961,24576,82
2026-03-26T21:27:58.992Z,0,317.96,85,23961,24576,81
2026-03-26T21:28:04.025Z,0,90.17,2,1148,24576,54
2026-03-26T21:28:09.058Z,0,341.62,94,9443,24576,62
2026-03-26T21:28:14.092Z,0,345.07,83,9443,24576,75
2026-03-26T21:28:19.124Z,0,124.49,0,1148,24576,50
2026-03-26T21:28:24.155Z,0,125.36,26,23630,24576,44
2026-03-26T21:28:29.187Z,0,346.56,90,23957,24576,64
2026-03-26T21:28:34.220Z,0,348.1,92,23957,24576,72
2026-03-26T21:28:39.254Z,0,347.01,85,23957,24576,78
2026-03-26T21:28:44.286Z,0,332.94,91,23957,24576,81
2026-03-26T21:28:49.320Z,0,319.78,92,23957,24576,82
2026-03-26T21:28:54.354Z,0,318.99,85,23957,24576,83
2026-03-26T21:28:59.392Z,0,107.7,3,1148,24576,56
2026-03-26T21:29:04.424Z,0,342.91,84,9140,24576,62
2026-03-26T21:29:09.457Z,0,344.51,85,9140,24576,75
2026-03-26T21:29:14.491Z,0,325.02,87,9140,24576,79
2026-03-26T21:29:19.525Z,0,315.38,84,9080,24576,81
2026-03-26T22:45:33.778Z,0,114.79,2,9150,24576,49
2026-03-26T22:45:38.811Z,0,346.65,81,9150,24576,72
2026-03-26T22:45:43.846Z,0,329.21,88,9154,24576,81
2026-03-26T22:45:48.881Z,0,305.65,87,9169,24576,82
2026-03-26T22:45:53.913Z,0,264.99,100,9154,24576,84
2026-03-26T22:45:58.945Z,0,304.1,87,9162,24576,83
2026-03-26T22:46:03.981Z,0,307.76,90,9170,24576,82
2026-03-26T22:46:09.015Z,0,300.88,83,9149,24576,82
2026-03-26T22:46:14.050Z,0,307.63,89,9156,24576,82
2026-03-26T22:58:22.639Z,0,69.43,14,9207,24576,34
2026-03-26T22:58:27.672Z,0,345.42,84,9175,24576,47
2026-03-26T22:58:32.704Z,0,341.32,85,9179,24576,49
2026-03-26T22:58:37.736Z,0,344.82,85,9175,24576,53
2026-03-26T22:58:42.766Z,0,287.5,1,9175,24576,57
2026-03-26T22:58:47.798Z,0,347.81,83,9203,24576,63
2026-03-26T22:58:52.831Z,0,346.24,79,9179,24576,69
2026-03-26T22:58:57.862Z,0,284.31,87,9167,24576,72
2026-03-26T22:59:02.895Z,0,326.37,81,9189,24576,81
2026-03-26T22:59:07.927Z,0,312.95,89,9217,24576,82
2026-03-26T22:59:12.960Z,0,304.1,88,9234,24576,83
2026-03-26T22:59:17.991Z,0,295.62,81,9171,24576,83
2026-03-26T22:59:23.024Z,0,292.61,86,9137,24576,83
2026-03-26T22:59:28.058Z,0,298.75,76,9137,24576,83
2026-03-26T22:59:33.092Z,0,299.04,87,9139,24576,83
2026-03-26T22:59:38.125Z,0,266.98,100,9158,24576,83
2026-03-26T22:59:43.156Z,0,294.45,88,9153,24576,82
2026-03-26T22:59:48.190Z,0,291.1,86,9131,24576,83
2026-03-26T22:59:53.225Z,0,302.61,78,9139,24576,83
2026-03-26T22:59:58.258Z,0,298.21,81,9134,24576,83
2026-03-26T23:00:03.290Z,0,301.07,86,9134,24576,82
2026-03-26T23:00:08.322Z,0,298.44,78,9134,24576,82
2026-03-26T23:00:13.357Z,0,302.93,82,9134,24576,81
2026-03-26T23:00:18.389Z,0,302.32,82,9134,24576,82
2026-03-26T23:00:23.422Z,0,305.67,83,9134,24576,82
2026-03-26T23:00:28.452Z,0,263.44,86,9134,24576,82
2026-03-26T23:00:33.484Z,0,306.36,82,9134,24576,82
2026-03-26T23:00:38.519Z,0,301.26,80,9134,24576,82
2026-03-26T23:00:43.549Z,0,285.1,39,9134,24576,78
2026-03-26T23:00:48.585Z,0,306.08,85,9156,24576,82
2026-03-26T23:00:53.617Z,0,308.65,90,9222,24576,82
2026-03-26T23:00:58.651Z,0,309.6,83,9204,24576,82
2026-03-26T23:01:03.683Z,0,315.77,85,9166,24576,82
2026-03-26T23:01:08.716Z,0,279.23,51,9180,24576,79
2026-03-26T23:01:13.750Z,0,309.36,84,9175,24576,81
2026-03-26T23:01:18.784Z,0,313.53,86,9171,24576,81
2026-03-26T23:01:23.818Z,0,304.39,88,9171,24576,81
2026-03-26T23:01:28.851Z,0,299.04,83,9171,24576,82
2026-03-26T23:01:33.884Z,0,309.77,85,9171,24576,82
2026-03-26T23:01:38.918Z,0,275.71,100,9171,24576,81
2026-03-26T23:01:43.952Z,0,311.02,86,9171,24576,82
2026-03-26T23:01:48.987Z,0,316.11,85,9171,24576,82
2026-03-26T23:01:54.018Z,0,291.5,87,9176,24576,82
2026-03-26T23:01:59.050Z,0,307.1,79,9175,24576,81
2026-03-26T23:02:04.084Z,0,307.49,84,9175,24576,82
2026-03-26T23:02:09.117Z,0,309.14,86,9175,24576,82
2026-03-26T23:02:14.151Z,0,319.21,86,9185,24576,82
2026-03-26T23:02:19.184Z,0,270.77,0,9185,24576,82
2026-03-26T23:02:24.218Z,0,308.32,86,9191,24576,82
2026-03-26T23:02:29.252Z,0,310.08,87,9191,24576,82
2026-03-26T23:02:34.287Z,0,309.18,86,9191,24576,81
2026-03-26T23:02:39.320Z,0,307.21,86,9191,24576,82
2026-03-26T23:02:44.353Z,0,305.83,85,9191,24576,81
2026-03-26T23:02:49.385Z,0,261.59,86,9191,24576,82
2026-03-26T23:02:54.418Z,0,307.66,74,9191,24576,82
2026-03-26T23:02:59.448Z,0,296.98,87,9191,24576,82
2026-03-26T23:03:04.482Z,0,312.23,80,9191,24576,82
2026-03-26T23:03:09.515Z,0,305.24,84,9191,24576,81
2026-03-26T23:03:14.547Z,0,309.19,83,9191,24576,82
2026-03-26T23:03:19.581Z,0,307.8,78,9191,24576,81
2026-03-26T23:03:24.615Z,0,309.55,82,9191,24576,82
2026-03-26T23:03:29.646Z,0,137.2,0,9191,24576,59
2026-03-26T23:03:34.680Z,0,347.74,84,9191,24576,70
2026-03-26T23:03:39.714Z,0,323.6,77,9191,24576,81
2026-03-26T23:03:44.747Z,0,317.22,84,9191,24576,82
2026-03-26T23:03:49.782Z,0,308.29,82,9191,24576,82
2026-03-26T23:03:54.816Z,0,309.48,86,9191,24576,82
2026-03-26T23:03:59.848Z,0,297.96,86,9191,24576,80
2026-03-26T23:04:04.882Z,0,309.85,87,9191,24576,82
2026-03-26T23:04:09.917Z,0,313.37,87,9191,24576,82
2026-03-26T23:04:14.949Z,0,276.65,0,9191,24576,77
2026-03-26T23:04:19.983Z,0,306.34,79,9172,24576,82
2026-03-26T23:04:25.017Z,0,311.18,85,9172,24576,82
2026-03-26T23:04:30.051Z,0,307.13,86,9172,24576,81
2026-03-26T23:04:35.085Z,0,307.03,83,9172,24576,82
2026-03-26T23:04:40.120Z,0,316.37,82,9172,24576,82
2026-03-26T23:04:45.152Z,0,307.74,86,9172,24576,82
2026-03-26T23:04:50.186Z,0,308.27,84,9172,24576,81
2026-03-26T23:04:55.218Z,0,300.86,91,9172,24576,81
2026-03-26T23:05:00.250Z,0,306.84,85,9172,24576,82
