experiment_id	primary_score	accepted	rmse_rate	rmse_temp	rmse_rate_norm	rmse_temp_norm	max_error_rate	max_error_temp	training_seconds	total_seconds	num_params	num_epochs
137	0.308405	0	0.097450	0.480743	0.277744	0.030661	0.825038	2.526947	300.371	300.407	1794	2540
139	0.316445	0	0.098375	0.565481	0.280380	0.036065	0.823193	2.967514	300.617	300.654	1794	2495
141	0.308985	0	0.097342	0.494695	0.277435	0.031551	0.827943	2.687637	300.446	300.482	1794	2552
142	0.307961	0	0.097043	0.491976	0.276584	0.031377	0.823956	2.346176	300.490	300.526	1794	2611
143	0.309266	0	0.097377	0.497500	0.277536	0.031730	0.822088	2.703316	300.412	300.449	1794	2427
144	0.310277	0	0.097822	0.493470	0.278805	0.031473	0.831337	2.479362	300.660	300.696	1794	2513
145	0.307806	0	0.097161	0.484276	0.276920	0.030886	0.829345	2.367409	300.513	300.549	1794	2514
151	0.307090	0	0.096903	0.484593	0.276184	0.030906	0.824279	2.293159	300.537	300.575	1794	2478
152	0.307738	0	0.097025	0.489294	0.276531	0.031206	0.825134	2.175827	300.521	300.558	1794	2488
153	0.306228	0	0.096688	0.480653	0.275573	0.030655	0.824686	2.626251	300.364	300.403	1794	2700
155	0.307986	0	0.097027	0.493093	0.276538	0.031449	0.823758	2.632164	300.377	300.414	1794	2932
161	0.306367	0	0.096955	0.470907	0.276333	0.030034	0.825826	2.595657	300.493	300.530	1794	3091
162	0.307386	0	0.096912	0.488817	0.276210	0.031176	0.816245	2.267509	300.343	300.381	1794	3162
163	0.306288	0	0.096946	0.470070	0.276308	0.029980	0.821601	2.328247	300.314	300.351	1794	3013
164	0.307533	0	0.097041	0.485375	0.276577	0.030956	0.823580	2.472816	300.476	300.514	1794	2722
166	0.306783	0	0.097045	0.473411	0.276590	0.030193	0.821700	2.356667	300.596	300.633	1794	2854
167	0.307559	0	0.096667	0.502489	0.275511	0.032048	0.815665	2.429886	300.461	300.499	1794	2943
168	0.306067	0	0.096913	0.468075	0.276214	0.029853	0.823202	2.252792	300.570	300.608	1794	2880
169	0.308019	0	0.096976	0.495889	0.276392	0.031627	0.818608	2.306984	300.238	300.276	1794	3134
171	0.307120	0	0.096839	0.487893	0.276003	0.031117	0.820006	2.512009	300.352	300.389	1794	2712
173	0.306865	0	0.096893	0.481504	0.276156	0.030709	0.820566	2.344574	300.518	300.556	1794	2720
174	0.306730	0	0.096779	0.484443	0.275833	0.030897	0.822853	2.362907	300.506	300.546	1794	2662
175	0.307575	0	0.096871	0.493608	0.276094	0.031481	0.820880	2.552460	300.496	300.534	1794	2666
177	0.307927	0	0.096986	0.493972	0.276423	0.031505	0.818010	2.333168	300.438	300.475	1794	2680
183	0.308927	0	0.097643	0.480328	0.278293	0.030634	0.827811	2.674088	300.361	300.398	1794	2999
185	0.305327	1	0.096919	0.456223	0.276230	0.029097	0.821736	2.116829	300.363	300.401	1794	2979
189	0.309127	0	0.097452	0.492002	0.277748	0.031379	0.823072	2.452858	300.722	300.760	1794	2603
194	0.305738	0	0.097070	0.455889	0.276662	0.029076	0.823385	2.179184	300.415	300.452	1794	2496
196	0.307321	0	0.097175	0.476032	0.276960	0.030360	0.825432	2.430756	300.469	300.507	1794	2831
199	0.307547	0	0.097016	0.486668	0.276508	0.031039	0.827507	2.381851	300.387	300.426	1794	2795
